MolWt_label_continuous,SMILES
409.2830000000001,Cc1ccc2ccc(C(=O)NNC(=O)/C=C/c3cccc(Br)c3)cc2c1
384.657,Cc1ccc(NC(=O)C(C)Oc2ccc(O)c(Br)c2)cc1Cl
405.90700000000015,CC(NC(=O)CSCC(=O)Nc1ccccc1)C(=O)Nc1ccccc1Cl
438.7890000000001,O=C(CCC(=O)c1ccc(Cl)c(Cl)c1)CSc1nnc(NCCCl)s1
384.43500000000006,CC(C)c1cccc(NC(=O)/C=C2\N=C(c3ccc4ccccc4c3)OC2=O)c1
405.447,CSc1ccc(C(=O)CNC(=O)CCC(=O)c2ccc(OC(O)F)cc2)cc1
421.30500000000006,CC(=O)c1ccc(CSc2ncc(C(=O)Nc3ccc(Cl)cc3Cl)o2)cc1
385.2500000000001,O=C(Nc1ccc(Cl)cc1)c1ccc(NC(=O)c2ccccc2Cl)cc1
393.2950000000001,O=C(CCc1nnc(SCc2ccccc2)o1)c1cccc(Cl)c1Cl
400.6890000000001,C[C@H](CC(=O)OCC(=O)Nc1cc(Cl)ccc1Cl)c1ccc(Cl)cc1
383.4880000000001,CCc1c(CC(=O)CCC(=O)NC2CCCCC2C)c2ccccc2oc1=O
384.8630000000001,CC(c1ccccc1)c1nc2c(CNC(=O)C3CCCO3)c(Cl)ccc2o1
420.9250000000002,O=C(Nc1nc(SCc2ccccc2)n(-c2ccccc2)n1)c1ccc(Cl)cc1
406.5550000000001,Cc1ccc(-c2nnc(NC(=O)C3CCN(Cc4ccccc4C)CC3)s2)cc1
353.8020000000001,O=C(COC(=O)c1ccccc1)Nc1ccc(Cl)cc1SCF
372.37700000000007,COc1ccc(CNC(=O)C(C)OC(=O)Cc2ccc([N+](=O)[O-])cc2)cc1
401.8710000000001,O=C(COc1ccc(-c2ccccc2)cc1)NS(=O)(=O)c1ccc(Cl)cc1
364.8040000000001,COc1cc(NC(=O)CC(C)C(=O)Nc2ccc(F)cc2)ccc1Cl
395.282,Cc1ccccc1CC(C)C(=O)OCC(=O)COc1ccc(Cl)c(Cl)c1
408.31000000000006,O=C(CCCSc1nnc(-c2cccc(Cl)c2)o1)Nc1ccccc1Cl
385.8070000000001,COCCC(=O)NC(=O)c1ccc(-c2nc(-c3cccc(Cl)c3)no2)cc1
