SMILES,act_score
COc1cc(-c2ccc(C(=O)O)cc2)ccc1OCc1ccc(N)cc1C,0.46474582
Cc1cc(C(=O)O)cc(C)c1C(C)NC(=O)C1C=CC=C1C1=CC(c2ccccc2)S1,0.98227435
Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2coc3c(Cl)cccc23)cs1,0.9986738
Cc1cc2c(cc1C(=O)Nc1ccc(C(=O)O)cc1)N(C(=O)c1ccc(Cl)cc1)CC2,0.98818123
Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2ccc(Cl)c(Cl)c2)sc1Cl,0.99458164
Cc1cc2c(c(C(=O)NC(C)c3c(C)cc(C(=O)O)cc3C)c1)C=C(c1cccc(Br)c1)[S-]2,0.99861264
CC(CCc1ccc2sc(O)nc2c1)C(=O)Nc1ccc(C(=O)O)cc1,0.6754866
CCn1c2ccccc2c2cc3c(cc21)-c1cc(C#N)cc(-c2ccc(C(=O)OC)cc2)c1C3,0.7699411
CC(NNCc1cc(-c2ccc(C(=O)O)cc2)ccc1Cl)c1ccc(Cl)cc1F,0.9063909
CCn1c2ccccc2c2cc(-c3nc4cc(C(=O)O)ccc4n3CCOC)ccc21,0.8946577
Cc1cc(C(=O)O)cc(C)c1NC(=O)c1cc(-c2cccc(Br)c2)sc1C,0.99876595
Nc1ccc(-c2ccc(Cl)c(NCc3ccc(-c4ccccc4)cc3)n2)cc1,0.07246248
CC(Cc1sc2cc(C(=O)O)ccc2c1Cl)c1ccc(C(=O)O)cc1,0.99641764
Cc1cc(C(=O)O)ccc1C(C)Cc1nc2cc(S(N)(=O)=O)ccc2s1,0.69297636
CCc1cc(Cl)ccc1NC(=O)C1Cc2cc(CCl)ccc2C1=O,0.0066166776
Cc1cc(C(=O)O)cc(C)c1NC(=O)c1sc2cc(C(O)(F)F)ccc2c1C,0.99960333
CCn1c2ccccc2c2cc(-c3nc4cc(C(=O)O)ccc4n3CC3CC3)ccc21,0.9549938
Cc1ccc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)NC(C)Cc1ccc(C(=O)O)cc1,0.986231
CC(NC(=O)c1cc(Cl)cc2c1N(Cc1ccc(C(C)(F)F)cc1)CC2)c1ccc(C(=O)O)cc1,0.99357516
Cc1cc(C(=O)O)cc(C)c1NCc1nc(-c2ccc(C(C)(C)C)cc2)cs1,0.5667728
CCCn1c2ccccc2c2cc(-c3nc4cc(C)c(C(=O)O)cc4s3)ccc21,0.9866471
O=C(O)c1cccc(NC(=O)c2cccnc2Oc2ccc(C(F)(F)F)cc2Cl)c1,0.9377828
Cc1sc(-c2ccc(C(F)(F)F)cc2)cc1CNNC(C)c1ccc(Cl)cc1,0.73336995
CCCn1c2ccccc2c2cc(-c3nc4cc(C(=O)O)ccc4n3CCOC)ccc21,0.86381805
Cc1ccc(Cc2cccc(C(=O)CO)c2)c(Oc2c(C)cc(C(=O)O)cc2C)c1,0.7207776
Cc1cc(C(=O)O)cc(C)c1Nc1ccc2c(c1NCc1ccc(C(F)(F)F)cc1)CCC2,0.95754844
CCn1c2ccccc2c2cc3c(cc21)c(C)cc1c2ccc(C(=O)O)cc2oc31,0.8532101
CSc1ccc(-c2cccc(NC(=O)NC(C)c3c(C)cc(C(=O)O)cc3C)c2)cc1,0.36601442
CCn1c2ccccc2c2cc(-c3nc4cc(C(=O)O)ccc4n3CCOC)ccc21,0.8811029
CCc1oc(-c2ccc(C(C)(F)F)cc2)cc1C(=O)Nc1c(C)cc(C(=O)O)cc1C,0.9934394
O=C(O)c1ccc2c(c1)SC1=c3sc4cc(C(=O)O)ccc4c3=CC12,0.917324
O=C(O)c1cccc(/N=C(\O)c2cccc3c2oc2ccc(OC(F)F)cc23)c1,0.719428
CCn1c(-c2cc(C)cc(OCC(=O)O)c2)nc2cc(C(N)=O)ccc21,0.8898586
Cc1ccc(-c2ccc(NC(C)c3c(C)cc(C(=O)O)cc3C)c(C)c2C)cc1,0.9286218
CCCn1c2ccccc2c2cc(-c3nc4cc(C(=O)O)ccc4n3CC3CC3)ccc21,0.9573142
Cc1cc(C(=O)O)cc(C)c1OCc1cc2c(C)c(C(N)=O)ccc2c2cc(Cl)ccc12,0.059849657
CCn1c2ccccc2c2cc(-n3nc(-c4cccc(Cl)c4)c4ccccc43)ccc21,0.6574777
Cc1cc(Oc2c(C)cc(C(=O)O)c(C)c2C)c2c(C)c(C)c(Cl)cc2c1,0.6250438
Cc1cc(C(=O)O)cc(C)c1C(=O)Nc1cc2c(c(C)c1C)Cc1cc(F)ccc1-2,0.99513704
Cc1cc(C(=O)O)c(C)c(C)c1C(C)NC(=O)c1ccccc1-c1ccc(CO)cc1,0.9976641
Cc1ccc(CCC(=O)O)c(C)c1CNc1c(C)cc(C(=O)O)cc1C,0.90065444
CCc1nc(-c2ccc(F)cc2)sc1CNc1c(C)cc(C(=O)O)cc1C,0.977218
CC(Nc1cc(COC(F)(F)F)cc2ccc(Cl)cc12)c1ccc(C(=O)O)cc1,0.88528067
Cc1ccc(-c2ccc(C(F)(F)F)cc2)nc1CNc1c(C)cc(C(=O)O)cc1C,0.9743862
