HBA,SMILES
10.0,C=C([O-])Sc1nnc(SCC(=O)Nc2nc3ccsc3s2)n1C
9.0,CCC(=O)Oc1ccc(OCC(=O)Nc2ccc([N+](=O)[O-])cc2C(=O)[O-])c(OC)c1
7.0,CCn1c(COc2ccc(C(=O)OC)cc2)nnc1-c1ccc(O)c(Cl)c1
7.0,O=C(COc1ccccc1Cl)Nc1nc2nccc([N+](=O)[O-])c2s1
7.0,NC(=O)c1nnc(SCc2nc3ccccc3c(=O)[nH]2)o1
10.0,O=C(OCS(=O)(=O)c1nc2[nH]c(=O)n(Cc3ccccc3)c(=O)c2s1)c1ccco1
9.0,COC(=O)C(C#N)[S-]c1nnc(NCc2ccco2)o1
6.0,Cc1ccc(CSc2nnc(SCC(N)=O)n2-c2ccccc2)cc1
8.0,COc1ccc(-c2no/c(=N\c3noc(C)n3)o2)cc1
8.0,COc1cc(-c2nnc(C3CC(OC)C(c4cccc(Cl)c4)=CO3)o2)ccc1[N+](=O)[O-]
8.0,CCCOc1cc(OC(=O)c2nc3c(C)nsc3c(=O)[nH]2)ccc1OC
10.0,COc1cccc2nc(SCC(=O)OCc3nc(=O)n(C)[nH]c3=O)sc12
6.0,Cc1ccc(NC(=O)COCCOCCn2oc(=O)c3ccccc32)cc1
8.0,O=C(CSc1nnc(-c2ccccc2)o1)OCc1nc2ccccc2o1
6.0,Cc1ccccc1C(=O)OCC(=O)C1=CC(C)C(c2ccc(C#N)s2)=N1
9.0,COc1ccc(Cl)cc1CSc1nnc(-c2nc3c(s2)=COC(C)(C)N=3)o1
6.0,N#Cc1cccc(C(=O)COC(=O)c2cccc([N+](=O)[O-])c2)c1
8.0,CC(C)n1nc([S-]CC(=O)N(C)C)nc1SCc1nc2ccccc2[nH]c1=O
7.0,COc1ccc(NC(=O)C[S-]c2nnc(N)s2)cc1
9.0,O=C(COc1ccc([N+](=O)[O-])cc1)Nc1nc2ccc([N+](=O)C(=O)[O-])cc2s1
9.0,CCCn1c(-c2cnoc2N)nc2nc(SCCCl)nnc21
10.0,CCN1N=C(CC(=O)NCc2ccc(Cl)c(OC)c2)OC1c1nn2c(C)nnc2o1
8.0,Cc1nnc(NC(=O)COc2cc([N+](=O)[O-])ccn2)s1
7.0,CNS(=O)(=O)c1ccc(C(=O)NOCC(=O)CC(=O)OC)cc1
9.0,CN(C)c1nc2nc(Nc3ccc(NC(=O)c4ccco4)cc3)nnc2s1
10.0,COC(=O)c1nc(C(C)=O)c(NC(=O)CCCNc2nnc3cccc(C)c3n2)s1
9.0,CC1CCCc2c1sc1nc(CSc3nnc4scnn34)[nH]c(=O)c21
9.0,COc1ccc(CSC2=NO/C(=C\c3oc(=O)oc3C)O2)c(OC)c1
9.0,Cn1nnnc1CSc1ncc([N+](=O)[O-])c(Cl)n1
8.0,COc1cc2c(cc1-c1nnc(SCC(=O)Nc3ccc(Cl)cc3)n1C)OCCO2
10.0,COc1cn(C)c(C)c1C(=O)OCC(=O)Nc1nc2c(cnc(=O)n2C)s1
7.0,Cc1nnc(NC(=O)OCC(=O)Nc2cc(Cl)ccn2)n1C[CH]Cl
6.0,FC(F)Oc1ccc(CSc2nnc(Nc3ccc(Cl)cc3)s2)cc1
8.0,COC(=O)c1ccc(Nc2nnc(-c3ccc(OC(C)=O)cc3)o2)cc1
10.0,CCOc1cc(NC(=O)CSc2nnc(SCC(=O)OC)n2C)ccc1OC
9.0,Cc1nc2sc(NCCc3nc(-c4ccccc4Cl)no3)nn2n1
8.0,C[NH+]1C(SC[C@H]2COC(c3ccccc3)OO2)=NN=C1[C@@H]1COc2ccccc2O1
10.0,CSc1nc(-c2nc3cccc(Sc4nccs4)c3c(=O)n2C)n(C)n1
8.0,COc1cc2c(cc1OCc1nnc(COc3cccc(C)c3)o1)C(=O)N(C)C(C)O2
8.0,CCc1sc(NC(=O)NC(=O)CSc2nnc(-c3ccccc3)o2)nc1C
9.0,COc1ccc(-c2nnn(CC(=O)Nc3cc(OC)c4c(c3)OCO4)n2)cc1
9.0,COc1cc(OC)c(OCC(=O)Nc2nnc(-c3ccncc3)o2)cc1OC
10.0,Cc1ccc(-n2cnc(OC(=O)c3nnc(C)n3N)nc2=O)cc1
7.0,COc1ccc2c(c1)N=C(NC(=O)/C=C/c1cc(OC)c3c(c1)OC(F)O3)[S-]2
10.0,COc1ccc(COc2nnc3nc(SCC(N)=O)n(N)c3c2Cl)cc1OC
6.0,C/N=[N+](\[O-])c1cc([N+](=O)[O-])c(/N=C/c2ccccc2)cc1OC
10.0,O=C(Oc1nnc(Nc2nnno2)o1)c1ccccc1Cl
7.0,C/N=C(\[O-])c1ccc(-c2nc3ncc(OC)c(OC)c3o2)cc1
10.0,Nc1nnc(SCOC(=O)COc2ccc(S([NH2+])(=O)=O)cc2)o1
9.0,O=C([O-])NCC(=O)OCc1nnc2c(-c3ccccc3)ncnn12
9.0,COc1cc2nc3oc(-c4ccc([N+](=O)[O-])cc4)nn3c(=O)c2cc1OC
10.0,O=NNc1cccc(C(=O)OCC(=O)Nc2nnc([N+](=O)[O-])s2)c1
7.0,Oc1ccc(-c2nnc(SCC3=CC4OCOC4C=C3)o2)cc1
9.0,O=[N+]([O-])c1cc(Cl)nc(NCNc2nc(-c3cccs3)cs2)n1
6.0,Clc1ccc(-c2nn3c(SCc4cccc(Cl)c4)nnc3s2)cc1
9.0,CCOc1ccc([N+](=O)[O-])cc1NC(=O)CSc1nnc(SC)n1CC
9.0,COC1=CN([S@](=O)(O)c2nnc(C)o2)C=C(/N=C/c2ccc([N+](=O)[O-])cc2)N1
10.0,Cc1nn2c(C(=O)OC(C)C(=O)Nc3nncs3)ccc2c(=O)o1
9.0,COc1ccc(NC(=O)[C@H](C)Sc2nc3c(s2)=CC2N=C(N)N=C2C=3)c(OC)c1
6.0,O=C(CSC(=O)Nc1nc2cc(Cl)ccc2s1)Nc1cccc(Cl)n1
6.0,COc1cc(Cl)cc(CNC(=O)C[S-]c2nc(=O)n(C)c3ccccc23)c1
8.0,COc1cc(Cl)ccc1OCC(=O)Nc1ncnc(NC#N)c1N
8.0,Cc1nnc(-c2nc3ncc(-c4nc5ccccc5n4C)cc3o2)o1
7.0,NC(=O)COC(=O)CSc1nnc(-c2ccccc2)o1
8.0,COC(=O)c1ccc(-c2nnc(-c3cc(Cl)c(O)c([N+](=O)[O-])c3)o2)cc1
8.0,Cc1ccc(/C(O)=N/n2c(C)c(N)n3c(=O)n(C)c(=O)nc23)cc1
7.0,COC(=O)Oc1ccc(-c2nnc(COc3ccc(Br)cc3)o2)cc1
9.0,COC(=O)Cc1nnc(SC(=O)SCC(=O)Nc2ccccc2)n1C
7.0,CCOC(=O)c1ccc2c(=O)n(/N=C/c3ccccc3)c(=O)oc2c1
10.0,COCc1nnc(SCc2nnc(-c3ccc(C#N)cc3)nn2)o1
10.0,COC(=O)Oc1ccc(-c2nnc(Sc3nnc(C)n3C)o2)cc1
9.0,O=[N+]([O-])c1nc2ccc(-c3conc3Nc3nc4ccccc4s3)cc2s1
10.0,CCOC(=O)c1ccc(OC(=O)C(C)Sc2nc3nnc(C)nc3s2)cc1
6.0,O=C(C[SH2+]c1nnc(-c2ccccc2)o1)NC(=O)c1ccsc1
8.0,O=Nc1ccc(NC(=O)CSc2ncc([N+](=O)[O-])o2)cc1
10.0,Cc1nnc(NC(=O)CSc2nc3ccccc3c3nnnn23)s1
9.0,O=Nc1cc(NC(=O)CSC(=O)Nc2nccs2)cc2c1OCCO2
7.0,COc1ccc(-c2nnc([SH2]CC(=O)Nc3ccc4c(c3)OCO4)o2)cc1
8.0,COc1ccc(CSc2nnc(NC(=O)N=O)s2)cc1OC
9.0,COC(=O)c1ccc(NC(=O)CSc2nnc(-c3ccncc3)n2C)cc1OC
8.0,C=CCSc1nnc(SCc2nc(C)c(C)o2)n1C(N)=O
7.0,Cc1c(N)c([N+](=O)[O-])nc2cc([N+](=O)[O-])sc12
7.0,COc1ccc(C(=O)Nc2nnc(C(=O)OCCCl)s2)cc1Cl
7.0,CSc1ncn(-c2ccc(-c3cccc4c3C(=O)OC(C)O4)cc2)n1
7.0,O=C(CCSc1nc2cc(Cl)ncn2n1)COc1cccc(Cl)c1
10.0,CN1C2=C(OC(C)(C)OC2=O)C2=NC=NC(CC(=O)Nc3ccc(C(=O)[O-])cc3)N21
8.0,O=C(CSc1nnc(-c2ccc(O)cc2)o1)Nc1ccc2c(c1)OCO2
8.0,COc1ccc(OCC(=O)OCCn2c(C)nnc2N)cc1
7.0,Cc1ccc([N+](=O)[O-])c(NC(=O)CSc2nnc(-c3ccc(Cl)c(Cl)c3)o2)c1
8.0,Cc1cc2c(c(=O)[nH]c(=O)n2C)n1-c1nnc([S-]Cc2ccccc2)o1
8.0,COc1ccc(-c2nnc(SCC(=O)c3ccc([N+](=O)[O-])cc3)o2)cc1
9.0,COc1c(OC)c(Cl)c2c(nc(SCC(=O)c3ccc4c(c3)OCO4)n2C)c1OC
8.0,COc1cc(C)ccc1NC(=O)SCC(=O)Nc1cc2c(cc1[N+](=O)[O-])OCO2
10.0,Brc1ccc(CSc2nnc(-c3nn4nnnc4s3)o2)cc1
8.0,COc1ccc2nc3nc(NCBr)n(N)n3c(=O)c2c1
6.0,COc1ccc2nc(NC(=O)c3ccc(C(=O)OC(C)C)cc3)sc2c1
9.0,COC(=O)Nc1nnc(SCC(=O)COc2ccc(OC)cc2)s1
7.0,COc1cc(NC(C)=O)ccc1OCc1nc2ccc([N+](=O)[O-])cc2o1
8.0,COn1nnc2cc(C[S-]c3nnc(Cl)o3)ccc21
10.0,CCCc1nnc2sc(C(=O)COC(=O)c3ccc(C)c(OC)c3OC)nn12
9.0,C=C1C=NC2/C(=C/C(=O)OCC(=O)Nc3nc(C)c(CC)s3)C(=O)ON12
7.0,O=C(CSc1nc2c(s1)CCCC2)OCC(=O)c1ccccn1
9.0,N#CC(=O)Nc1nnc(SCc2nc3ccccc3c(=O)o2)s1
