aLogP_label_continuous,SMILES
5.270000000000003,O=C(Cc1csc(SCc2ccccc2)n1)Nc1cccc(Cl)c1
5.859600000000003,O=C(Nc1ccccc1)c1ccc(C2=Nc3[nH]c4cc(Br)ccc4c3C2)cc1
3.045300000000002,O=C(Nc1ccccc1)c1cc2ccccc2oc1=O
3.305200000000002,CCc1cc(N/N=C/c2ccc(OC)c(OC)c2)co1
4.597000000000003,O=C(COc1ccc(-c2ccc3ccccc3n2)cc1)NCc1ccccc1
3.837100000000002,CC(NC(=O)CCNC(=O)c1ccc2ccccc2c1)c1ccccc1
4.8827400000000045,Cc1cc(C)c(C(C)C)c(NC(=O)CCS(=O)(=O)c2cccc(Cl)c2)c1
4.350480000000003,N#Cc1c(C(F)(F)F)c2ccc(-c3ccccc3)cc2oc1=O
5.553400000000003,O=C(Nc1ccccc1Cl)c1ccc(COc2cc(Cl)c3c(c2)OCO3)cc1
3.5764400000000025,Cc1ccc(NC(=O)COC(=O)CC(=O)Nc2c(C)cccc2Br)cc1
4.384800000000001,O=C(Nc1ccc(Cl)cc1Cl)c1ccccc1F
5.164100000000001,O=c1c2cc(Cl)c(Cl)cc2nc2n1Cc1cc(Cl)cc(Cl)c1O2
4.161000000000003,Fc1cccc(C2=C[S-]C(N3CCN(c4ccc(Br)cc4)CC3)=N2)c1
3.7976000000000023,O=C(c1cc(Cc2ccc3c(c2)OCO3)co1)N1CCc2ccccc2C1
3.730900000000002,O=C1/C(=C/c2ccccc2O)CCN1CNc1ccccc1Cl
3.935900000000002,COc1cc(C(=O)O)ccc1NC(=O)COc1ccc(Br)cc1Br
3.517300000000001,O=C(NC1=CC2OCOC2C=C1)c1ccc(C(=O)Nc2ccc(Cl)cc2)cc1
5.354600000000003,O=C(/C=C/c1ccc(N2CCCC2)cc1)Nc1c(Cl)cccc1Br
5.203900000000004,O=C(Nc1ccc(NC(=O)C2CCCCC2)cc1)c1cc2ccccc2o1
4.229100000000002,O=C(COc1ccc(Br)cc1)Nc1ccc(Br)cc1
3.495220000000001,Cc1ccc(OCC(=O)NCCc2ccc(Br)cc2)cc1
4.618780000000003,N#Cc1ccccc1NC(=O)c1nc2ccc(-c3ccccc3)cc2o1
4.585600000000003,O=C(N/N=C/c1ccccc1Br)c1ccc(-c2ccccc2O)cc1
4.419700000000003,CC(C)N(C(=O)COC(=O)c1cc2ccccc2[nH]1)c1ccccc1Cl
5.554100000000002,O=C(Nc1cccc(Cl)c1Cl)c1nc(-c2ccccc2)oc1Cl
4.514100000000003,O=C(Nc1ccc([N+](=O)[O-])cc1)c1ccc(-c2ccccc2)cc1
5.153020000000003,Cc1cccc(NC(=O)c2ccc(C(=O)Nc3ccccc3Cl)cc2)c1
4.824220000000003,Cc1c(Cl)cc(NC(=O)CCC(=O)N/N=C/c2ccccc2Cl)cc1Cl
3.6483000000000008,Brc1cccc(C2=NNc3ccccc3N2)c1
3.789040000000002,Cc1ccc(NC(=O)COc2ccc(O)cc2Br)c(C)c1
5.033500000000002,O=C(Nc1nnc(COc2ccc(Br)cc2Br)s1)c1ccccc1F
4.134500000000003,O=c1cc(COc2ccccc2Br)oc2ccccc12
3.565400000000002,CC(c1ccccc1)N1CCN(Cc2ccccc2)CC1
5.146900000000003,CC(Cc1ccccc1Cl)NC(=O)c1ccc(Cl)c(F)c1Cl
4.045900000000002,O=C(COc1cc(Cl)ccc1Cl)NC1CCc2ccccc2C1
4.474140000000003,Cc1ccc(NC(=O)COc2ccc3ccccc3c2)c(C)c1
4.895800000000002,O=c1c2c(nc3cc(-c4ccc(Cl)c(Cl)c4)[nH]n13)oc1ccccc12
5.133600000000004,O=C(COc1ccccc1Br)Nc1ccc(-c2ccccc2)cc1
4.733820000000005,Cc1ccccc1C1OC(=O)c2c(ccc(CCc3ccccc3)c2O)O1
4.803300000000004,CC1Nc2c(sc3c2CCCC3)C(=O)N1Cc1cccc(Br)c1
4.552900000000002,O=C(Cc1ccc2c(c1)OCO2)Nc1ccc(C(F)F)cc1C(F)(F)F
4.544400000000003,CCOC(=O)c1cc(Br)c(Cl)c(C(=O)OCc2cccc([N+](=O)[O-])c2)c1
4.617100000000002,O=C(COc1cc2ccc3ccccc3c2oc1=O)Nc1cccc(Cl)c1
5.222500000000002,CC(OC(=O)Nc1ccccc1Cl)C(=O)Nc1cc(Cl)ccc1Cl
3.683220000000002,Cc1cc(OCC(=O)Nc2ccccc2)c(Br)cc1[N+](=O)[O-]
4.063200000000001,O=C(/C=C/c1cc(Cl)c2c(c1)OCO2)NC(=S)Nc1ccc(O)c(Br)c1
4.401900000000003,O=C(Cc1ccccc1)N/N=C/c1ccc(-c2ccc(Br)cc2)o1
4.206120000000003,Cc1cc(Cl)cc(N2CCN(C(=O)CC3=CCc4ccccc4O3)CC2)c1
4.899600000000002,O=C(Nc1ccc(F)cc1)c1ccc(-c2ccc([N+](=O)[O-])cc2Cl)o1
3.9743400000000015,Cc1ccc(NC(=O)COc2c(C)cccc2Cl)cc1
4.208520000000003,Cc1ccc(NC(=O)/C=C/c2cc(Cl)ccc2[N+](=O)[O-])cc1
4.530100000000004,CCOc1ccccc1/C=N/NC(=O)COc1ccc2cc(Br)ccc2c1
4.132600000000002,O=C(NC(=S)N/N=C/c1ccc(Cl)cc1)Nc1ccccc1Br
4.072200000000002,CCc1ccc(NC(=S)NC(=O)COC(=O)c2cccc3ccccc23)cc1
3.629800000000002,COc1ccc(/C=N/NC(=O)/C=C/c2ccccc2Br)cc1OC
5.168520000000004,CCCCCCNC(=S)Nc1c(Cl)ccc(Cl)c1C
4.594320000000002,Cc1cccc(Cl)c1NC(=O)[C@H](C)NC(=O)Cc1ccc(-c2ccccc2)o1
4.300600000000003,COc1cc2c(=O)oc(COc3ccccc3Br)nc2cc1Br
4.773400000000002,O=C(COc1ccc(Cl)cc1)Nc1ccc(Br)cc1Cl
5.135920000000004,Cc1ccccc1CNC(=O)COc1ccc(Oc2ccc(Cl)cc2)cc1
4.825120000000003,Cc1ccc(C2=C(Cl)C(=O)N(c3ccc(Cl)cc3)C2=O)cc1Cl
4.391600000000002,O=C1CC(=O)/C(=N\c2ccc(F)cc2)C2=C1C(c1ccccc1)NC(=O)C2c1ccccc1
5.923500000000003,O=C(CCCCC(=O)Nc1cc(Cl)ccc1Cl)Nc1ccc(F)cc1Cl
5.178600000000002,O=c1oc2ccccc2c2ccc(OCc3ccccc3Cl)cc12
4.522500000000002,COc1ccc(C(=O)Nc2nnc(-c3ccc(Br)cc3)o2)cc1Br
4.095100000000002,O=c1sc(CCc2ccccc2Cl)nc2ccccc12
4.932700000000002,O=C(COc1ccc(-c2ccccc2)cc1[N+](=O)[O-])Nc1ccccc1Cl
4.526020000000004,Cc1ccc(NC(=O)COC(=O)Cc2ccc3ccccc3c2)c(Cl)c1
3.0692200000000014,COC(=O)c1c(CC(=O)Nc2ccccc2C)c(=O)oc2ccccc12
4.664300000000002,O=C(COc1cccc(Cl)c1)Nc1ccc(Cl)c(Cl)c1
4.417400000000003,CN(c1ccccc1)S(=O)(=O)c1ccc(NC(=O)c2ccccc2Cl)cc1
5.356500000000003,O=C1c2cc(-c3ccccc3Cl)ccc2NC1c1ccccc1
4.290500000000002,COc1ccc(C(=O)Nc2ccc3c(c2)OCC3=O)cc1N(C)c1ccccc1
4.861800000000003,COc1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3Cl)cc2)cc1OC
4.604900000000003,O=C(CSc1nc2ccccc2s1)NC1=CC=C2C=CCC=C2C1
4.390000000000002,COc1cc(-c2ccco2)ccc1OCC(=O)Nc1cc(F)c(F)cc1F
4.544900000000003,COc1ccc2c(c1)Oc1ccc3ccccc3c1C2
4.285000000000002,O=C(COc1ccccc1Br)N/N=C/c1c(Cl)cccc1Cl
3.6941000000000015,CCC(Cc1ccc2c(c1)OCO2)NC(=O)COc1ccccc1Br
3.809000000000003,CCN/C(CCc1cc2ccccc2[nH]c1=O)=N\c1ccccc1OC
3.0356000000000014,O=S(=O)(c1ccccc1)c1cccc(C[NH+]c2nc3c(s2)CCCC3)c1
4.611220000000003,CCCc1cc(/C=N/NC(=O)c2ccc(Cl)cc2Cl)oc1C
5.1422000000000025,COc1ccccc1NC(=O)COc1ccc(-c2ccccc2)cc1Br
5.637200000000002,O=[N+]([O-])c1ccc(CNc2nc(-c3cccc(Cl)c3Cl)cs2)cc1
4.110200000000002,O=C(/C=N/NC(=O)c1ccccc1Br)Nc1ccc(Cl)c(Cl)c1
5.307100000000004,Cc1cccc(-c2ccc(-c3oc4ccccc4c(=O)c3C#N)cc2)c1
3.994200000000002,CC(Oc1ccc(Br)cc1)C(=O)Nc1ccc(F)cc1
3.489200000000002,CC1CN(CC(=O)Nc2ccccc2Cl)CCN1c1ccccc1
4.199800000000002,COc1ccc(NC(=O)c2ccc(NC(=O)c3ccccc3)cc2)cc1
3.543400000000002,O=C(CCC1NC(=O)c2ccccc21)Nc1ccc(Cl)cc1
3.9471000000000016,O=C(CSc1nc2ccccc2[nH]1)Nc1ccccc1Cl
4.105640000000004,Cc1cccc(C)c1C(=O)OCC(=O)c1ccc(Br)cc1
4.3595000000000015,Fc1cccc(-c2cn3c(n2)-c2ccc(Cl)cc2OC3)c1
4.124900000000002,CC(Nc1cccs1)C(=O)NCc1ccc(-c2ccccc2)o1
4.351400000000004,COc1ccccc1CNC(=O)CSc1nnc(-c2ccccc2)n1-c1ccccc1
5.6776200000000046,Cc1cccc2cc(OC(C)C(=O)Nc3ccc(C(C)C)cc3)ccc12
