rotatable,SMILES
6.0,COc1cc(C)ccc1NC(=O)CSc1nnc(-c2ccccc2)n1C
6.0,Cc1ccc(NC(=O)CSc2n[nH]c(-c3ccc([N+](=O)[O-])cc3)n2)cc1
6.0,O=C(COC(=O)c1ccc(OCF)cc1)NC(=O)c1ccc(Cl)cc1Br
6.0,CC(c1cccs1)N1CCN(CNC(=O)c2cccc([N+](=O)[O-])c2)CC1
7.0,NS(=O)(=O)c1ccc(OCC(=O)OCC(=O)c2cc(F)ccc2F)cc1
5.0,COc1ccc(Cl)cc1OCC(=O)Nc1ccc(C)cc1
8.0,CCc1ccc(NC(=O)COC(=O)[C@H](CC(=O)O)c2ccccc2)cc1
6.0,Cc1ccc(C)c(NC(=O)CCC(=O)Nc2ccc(C=O)cc2Br)c1
8.0,CCOc1cc(Br)ccc1NC(=O)COC(=O)CCc1ccccc1
6.0,COc1ccc(NC(=O)c2ccc(COc3ccccc3Cl)o2)cc1
6.0,COc1ccc(/C=N/NC(=O)COc2ccc(Br)cc2)cc1
7.0,CCNC(=[SH+])NC(=O)CCOc1ccc(C(C)=O)cc1[N+](=O)[O-]
6.0,O=C(Nc1ccc(F)cc1)Nc1ccc(C(=O)NCCc2ccccc2)cc1
5.0,CC(=O)c1ccc(CSc2nnc(-c3ccc(Br)cc3)o2)cc1
6.0,CCOc1ccc(NC(=O)CCc2oc3c(c2Cl)CN(C)C(C)C3)cc1
7.0,CC(NC(=O)COc1ccccc1)[NH2+]Cc1ccccc1
8.0,CCN(C(=O)CCC(=O)NCC(=O)c1ccc(Br)cc1)c1cccc(C)c1
5.0,COC(=O)c1nc2ccccc2c(=O)n1CCC(=O)NC(=O)C1CCCCC1
6.0,CC(C)c1cc(Br)ccc1OCCOc1ccc(F)c(F)c1
6.0,COc1ccc(NC(=O)C(C)Sc2nnc(C)n2-c2ccccc2)cc1
8.0,CCCC(NC(=O)COc1ccc(C(C)=O)cc1)c1ccc(F)cc1
6.0,O=C(COC(=O)Cc1ccc([N+](=O)[O-])cc1)Nc1ccccc1Cl
