rotatable,SMILES
10.0,CC(=O)CCCCC(=O)OCCCNC(=O)c1ccc(F)c(Cl)c1
9.0,CCOc1ccc(/C(C)=N/NC(=O)COc2ccc(C)c(OC)c2)c(OC)c1
9.0,CCOc1cc(C(=O)OC)ccc1/C=C/CCC(=O)Nc1ccc(OC)cc1
9.0,CCCCCCCOc1ccc(OCC)cc1
8.0,CCCCCCCNC(=O)c1ccc(C(=O)OC)cc1
9.0,CC(C(=O)Nc1ccc(OCCCOc2ccccc2)cc1)c1ccccc1
9.0,CCCCCCCNC(=O)COc1ccc(Br)cc1
8.0,CCOc1ccc(/C=N/NC(=O)COc2ccc(C(C)C)cc2)cc1
8.0,COC(=O)c1cccc(OCC(=O)NCCOc2ccccc2)c1
9.0,COc1ccccc1OCC(=O)NCC(=O)COc1cc(C)cc(Cl)c1
9.0,CCCCCCNC(=O)CCNC(=O)c1cc(Cl)ccc1Cl
11.0,COc1ccccc1C(=O)CCC(=O)NCCCC(=O)NCc1ccccc1
8.0,COc1cccc(C(=O)OCc2ccc(OCC(C)C)c(OC)c2)c1
8.0,CCOc1ccc(CCC(=O)OCC(=O)Nc2ccccc2F)cc1Cl
9.0,COc1ccc(/C=C/C(=O)[NH2+]/C=C/c2cc(OC)c(OC)c(OC)c2)c(OC)c1
8.0,CCCCOc1ccc(/C=C/C(=O)Nc2ccc(OC)cc2)cc1
9.0,COc1cc(CCNC(C)=O)ccc1OCCOc1ccc(Br)cc1
9.0,CCCCCCCCC(=O)Nc1ccc(I)c(OC)c1
8.0,COc1ccc(NC(=O)COC(=O)CCc2ccccc2)cc1OC
8.0,CCCOc1ccc(CCNC2OC(=O)C(C(=O)OC)=C2C)cc1
11.0,CC(COC(=O)CCCCCOc1ccccc1Cl)Nc1ccc(Cl)c2ccccc12
11.0,COc1ccc(OCC(=O)OCC(=O)[C@H](C)COc2ccccc2C)c(OC)c1
9.0,CCOc1cccc(OCCC(=O)NC(/C=C/C#N)c2ccccc2)c1
11.0,Cc1ccc(OCCCCNCCCOc2ccccc2)cc1
10.0,COc1ccc(CNC(=O)CCNC(=O)COc2ccccc2OC)cc1
8.0,O=C(COc1ccc(F)c(F)c1)NCC(O)COc1ccc(F)cc1
9.0,CCOc1cc(/C=N/N=C/c2cccc(Br)c2)cc(OC)c1OCC(N)=O
10.0,COc1ccc(OCC(O)CCCCOc2ccc(Br)cc2)cc1
9.0,COc1ccccc1OCC(=O)NC(=O)COC(=O)CCc1cccc(Cl)c1
8.0,CC(C)CCCCCCNC(=O)Nc1cc(Cl)cc(Cl)c1
9.0,CCCCCCCNC(=O)COc1ccc(Br)cc1Br
10.0,COCCNC(=O)COc1ccc(OCCc2ccccc2)cc1
10.0,COc1cc(OCc2ccccc2)c(F)cc1OCC(=O)NC(C(C)=O)c1ccccc1
9.0,CCCCOc1ccc(NC(=O)COC(=O)c2ccccc2)cc1OC
8.0,CC(=O)c1ccc(NC(=O)CCCCC(=O)Nc2cccc(Cl)c2)cc1
10.0,CCCCCCCCCCC/C=C/C#N
10.0,CCCCCCCCCCNC(=O)c1ccccc1Cl
11.0,CC/C(CCCOc1ccc(Cl)cc1)=N\NCCCOC
9.0,CCOc1ccc(/C=N/NC(=O)CCCOc2ccccc2Cl)cc1
8.0,CCCCc1ccc(OCCCO)c(OC)c1
8.0,COc1ccc(OCCCC(=O)NC2C(=O)COc3cc(C)ccc32)c(OC)c1
9.0,Cc1ccc(CCOC(=O)CCNC(=O)COc2ccccc2C)o1
10.0,COc1ccc(OCC(=O)NCCCOc2cc(C)ccc2OC)cc1
9.0,Cc1ccc(OCCCC(=O)NCCc2ccc(C=O)cc2)cc1
9.0,COC(=O)c1ccc(C(OC)C(CCCC(C)=O)c2ccccc2)cc1
8.0,COc1ccc(/C=C/C(=O)[NH2+]/N=C/c2cc(OC)c(OC)c(OC)c2)cc1
9.0,CCc1ccc(OCCC(=O)NCc2ccc(Oc3ccccc3)cc2)cc1
10.0,COc1c(Br)cc(Br)cc1CCNCCCCOc1ccccc1
9.0,C=CCOc1ccc(-c2nnc(NCCOc3ccccc3)o2)cc1
