rotatable,SMILES
4.0,O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1ccc(Cl)c(Cl)c1
6.0,O=C(CCOc1ccccc1Cl)NCc1ccc2c(c1)OCO2
5.0,Cc1ccc(S(=O)(=O)c2nc(COc3ccccc3)n[nH]2)cc1
4.0,COc1ccc(/C=N/NC(=S)Nc2ccccc2I)cc1
6.0,COC(=O)CCCNC(=S)N/N=C/c1ccc(Cl)cc1
4.0,O=C(CNC(=S)NC(=O)c1ccccc1)Nc1ccccc1
6.0,CCNC(=O)Cc1nnc(COc2ccc3ccccc3c2)o1
6.0,COC/C=C/c1ccc(OCC(=O)O)cc1
5.0,COc1cc(Br)c(NC(=O)COc2ccc(Cl)cc2)cc1Cl
4.0,COc1ccc2cc(C(=O)Nc3ccc(F)cc3OC)oc(=O)c2c1
5.0,O=C(NCCOc1ccccc1)Nc1ccccc1
4.0,Nc1ccc(Cc2nnc(Nc3cccc(F)c3)s2)cc1
4.0,O=C(Nc1ccc2o/c(=N\C=C\c3ccccc3)[nH]c2c1)c1cnco1
5.0,Cc1cc(CNC(=O)COC(=O)c2ccc(F)c(F)c2C)n[nH]1
5.0,COc1ccc(NC(=O)c2ccc(CC(=O)NN)cc2C)cc1
6.0,CCOc1ccc(-c2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc2)cc1
6.0,C[NH2+]S(=O)(=O)c1ccc(OSCC(=O)NC(=O)NC(F)(F)F)cc1
5.0,CCOc1c(OC)cc(-c2ccc(C)cc2)cc1OC
5.0,COc1ccc(C(=O)COC(=O)c2[nH]c3cc(C)c(C)cc3c2Cl)cc1
5.0,O=C(COC(=O)/C=C/c1ccc(Br)cc1)Nc1ccccc1
4.0,CC1Cc2sc(SCC(=O)c3ccc4c(c3)CC(F)(F)O4)nc2N1
5.0,O=C(CSc1ccc(-c2nnc[nH]2)cc1)Nc1ccccc1
5.0,O=C(/C=C/c1ccccc1Cl)NNC(=O)COc1cccc(F)c1Cl
4.0,c1ccc(CCC2CCN(c3ccccc3)CC2)cc1
5.0,N#Cc1[nH]nc(-c2ccc(NC(=O)COc3ccccc3Cl)cc2)c1Cl
3.0,O=c1oc2ccccc2cc1N/N=C/c1ccccc1
6.0,COc1cc(-n2cnnn2)ccc1OCc1nnc(-c2cccs2)o1
5.0,CCCNS(=O)(=O)c1ccc(C)c(OC)c1
4.0,COc1ccc(/C=C/C(=O)Nc2ccc(Cl)cc2Br)cc1
6.0,COc1cc(OCC(=O)N/N=C/c2ccccc2Cl)ccc1Br
5.0,O=C(COC1=CC=C2C=CCC=C2C1)N/N=C/c1cccc(Br)c1
5.0,CC(C)Oc1ccc(C(=O)N/N=C/c2ccc3c(c2)OCO3)cc1
4.0,Nc1nnc(NC(=O)COC(=O)c2ccc(Br)cc2)s1
5.0,O=C(NC(=O)c1ccc([N+](=O)[O-])cc1)Nc1ccc(NC(=O)c2ccccc2)cc1
5.0,O=C(/C=C/c1ccccc1)NC(=O)COc1ccc2c(c1)OCO2
3.0,Cn1c2ccccc2c2c(=O)n(CCc3ccccc3)c(=O)[nH]c21
6.0,CCc1ccccc1/C=N/NC(=O)/C=C/c1cccc([N+](=O)[O-])c1
6.0,O=C(Cn1nnnc1-c1ccc(Cl)cc1)NCCc1cccc(Cl)c1
5.0,COc1ccc(OCC(=O)NNC(=O)c2cc(C)c(Br)s2)cc1Cl
5.0,O=C(CSc1ncnc2c1oc1ccccc12)N/N=C/c1cccc(Cl)c1
5.0,COc1ccc(NC(=O)CCn2c(=O)[nH]c3ccccc3c2=O)cc1
4.0,O=C(/C=C/c1ccc([N+](=O)[O-])cc1)Nc1cccc(Br)c1
5.0,O=C(COc1ccc(Br)c(Cl)c1)NNC(=O)Cc1ccccc1
5.0,COc1ccc2cc(COc3cc(C)c(Br)cc3C=O)c(=O)oc2c1
5.0,O=C(/C=C/c1ccc(OCO)cc1)Nc1nccs1
5.0,COc1cc(Cl)ccc1OCC(=O)Nc1ccc(O)cc1
