HBD,SMILES
0.0,COc1ccc(/C=C/C(=O)OCc2noc3c2C(=O)CS3)cc1
1.0,c1ccc(C[NH2+]Cc2ccc(OCc3ccccc3)cc2)cc1
0.0,Cc1ccc(C(=O)COC(=O)/C=C/c2ccccc2Cl)cc1Br
1.0,COc1ccc(/C=N/CC(=O)Nc2cc(Cl)ccc2Cl)c(Br)c1
1.0,O=c1oc2cc(Br)ccc2cc1OCC1COC(c2ccccc2)CN1
1.0,O=C(CCCOc1ccc(Br)cc1)Nc1nnc([S-]c2ccccc2)s1
0.0,Cc1ccc(CN(C)C(=O)CSc2cn(C)c3ccccc23)c(F)c1
1.0,C[NH+](CCCC1=NC(=O)C(=O)c2ccccc21)Cc1ccccc1
1.0,O=C(CN1C(=O)S/C(=C\c2cc(Br)ccc2Cl)C1=O)Nc1ccccc1
1.0,O=c1c2c3ccccc3[nH]c2c2cccc3c2n1CC1COCCN31
0.0,Cc1cc([N+](=O)[O-])ccc1C(=O)CS(=O)(=O)CCc1ccc(F)cc1
1.0,CCN(C)c1ccc(/C=N/NC(=O)c2c(C)cccc2C)cc1Br
1.0,CCc1ccccc1NC(=O)C[SH+]c1ccc(N(C=O)C(F)F)cc1
1.0,Cc1ccc(NC(=O)COc2ccc(Br)cc2[N+](=O)[O-])cc1
1.0,CSc1ccc(CNC(=O)c2cccs2)cc1
1.0,COc1ccc(/C=C/C(=O)OCc2c[nH]c3ccccc3c2=O)cc1
1.0,CCc1cccc(C)c1NC(=O)C[S-]c1cccc([N+](=O)[O-])c1
1.0,Cc1cc(/C=N/OCC(=O)Nc2ccccc2Br)ccc1Br
1.0,Cc1cccc(C)c1NC(=O)CSc1ccc(Br)cc1F
1.0,Cc1ccc(NC(=O)C2CCc3nnn(-c4ccccc4)c3[S-]2)c(C)c1
1.0,Oc1ccc(Br)cc1/C=C/N1CCC(c2ccccc2)CC1
0.0,N#Cn1c(SCc2ccc(F)cc2)nnc1-c1cccc(Br)c1
1.0,O=C1CC(c2cccs2)NC(=O)N1c1cccc(Cc2cccs2)c1
1.0,C=CCNC(=O)C[S-]C1C=C(S(=O)(=O)c2ccc(C)cc2)C(=O)O1
1.0,COC(=O)c1ccc2c(c1)oc1ccc(NCc3ccc(C)cc3OC)cc12
0.0,O=c1cc(/C=N/c2ccc(OC(F)F)cc2)oc2ccccc12
1.0,COc1c(O)cccc1-c1nn(C(=O)Cc2ccccc2)c(=S)o1
1.0,O=C(Nc1ccc(Cl)cc1)c1nnc(-c2ccccc2Br)o1
1.0,Cc1ccccc1CNC(=O)C[S-]c1cccc(F)c1
1.0,O=C(C[S-]c1c(Cl)cccc1Cl)Nc1ccc(Br)cc1
1.0,CO/C(=C/Br)c1ccc(OCO)cc1
1.0,CCN(C(=O)c1ccc(OC(C)C)cc1)C(C)C(=O)NC(=O)c1cccs1
