rotatable,SMILES
14.0,CCCCCCCCNC(=O)c1cc(OC)c(OCC)c(OCCC)c1
12.0,CCCNCCCCC[NH2+]Cc1ccc(OC)c(OC)c1
15.0,CCCCCCCCCC[C@@H](CO)[NH2+]CCCCC
12.0,C=CCCCCCCCCCCCCC
12.0,CCCCCCCCCNCCCCC
12.0,OCCCCCCCCCCCOc1ccccc1
13.0,CCCCCCNC(=O)c1ccc(OCCCCCC)c(OC)c1
14.0,CCCCCCCCCCCCCOc1ccc(OC)cc1
13.0,C[CH][C@@H](CCCCCC)C(=O)NCCCCOc1ccc(Br)cc1
12.0,CCCCOc1ccc(CCCCCCC#N)cc1OCC
14.0,CCCCCCCOc1cc(C[NH+](C)CCCC)cc(OCC)c1
11.0,CCCNC(=O)CCCOc1cc(OCCC)c(OC)cc1Cl
12.0,CCCCCCNCCNC(=O)COc1ccc(C)cc1OC
13.0,CCCCCCCCCCCCCOc1cc(C)ccc1Cl
11.0,CCCCCCCCCCNC(=O)c1ccc(OC)cc1
13.0,CCCCCCNCc1cc(OC)c(OCCN)cc1OCC
11.0,CCCCOc1ccc(OCCCCOc2ccccc2)cc1
10.0,CCCCCCc1nc(-c2ccc(N(C)CC)cc2)nn1CCC
12.0,CCCCCCCCCNC(=O)c1ccc(OCC)c(OC)c1
12.0,CCCCOc1cc(OC)c(OCCCCOc2ccc(Br)cc2)cc1Cl
12.0,CCCCC[NH2+]CCOC(c1ccccc1)c1cccc(OCC)c1
13.0,CCCCCCOc1ccc(C(=O)NCCCC)c(OCCC)c1
11.0,CCCCNCCc1ccc(OCCCC(C)O)cc1
14.0,CCCCCOc1ccc(OCC[NH2+]CCCC)c(OCC)c1
12.0,CCCCCCCCCCCCCOC(C)=O
13.0,CCCCCCCOc1c(OC)cc(CCCCC)cc1OC
12.0,CCCCCCCCCCCCc1cc(Cl)c(Br)c(OC)c1
11.0,Cc1ccccc1OCCC[NH2+]CCCCOc1ccccc1
14.0,CCCCC[NH2+]CCCCCC(CC)CCCC
12.0,CCCCOc1ccc(Cc2ccc(OCCC)cc2C(=O)O)cc1OCC
11.0,CCCCCCCCCCCNC(=O)c1cccc(Cl)c1
