MolWt_label_continuous,SMILES
546.3030000000002,CCC(Cc1cc(Cl)ccc1Cl)NC(=O)c1ccc(Cl)c(S(=O)(=O)Nc2cccc(Cl)c2)c1
544.8460000000001,C[N+](=O)c1cccc(N/C=C2\c3cc(Cl)c(Cl)cc3OC3CN(C(=O)c4ccc(Cl)cc4)CCN23)c1
466.5630000000003,C[C@@H]1OC(NC(=O)CSc2nnc(-c3ccc(C4CCCCO4)cc3)o2)Nc2ccccc21
527.1540000000002,O=C(CCCl)Oc1ccc(C2=CC(C(=O)NC(=O)c3ccc(Cl)c(Br)c3)C(=O)O2)cc1
499.0320000000002,CCCN(CC)S(=O)(=O)c1ccc(NC(=O)Cc2ccc(Cl)cc2C(=O)c2ccccc2)cc1
469.5380000000002,COc1cc(OC)c(C(=O)N2CCN(C(=O)CCC(=O)Nc3ccccc3C)CC2)cc1OC
512.282,COc1ccc(NC(=O)COc2ccc(-c3nc(Br)cc(C(F)(F)F)n3)cc2)cc1OC
491.9560000000001,O=C(Cc1nc(Cl)c(C(=O)c2ccccc2)c(-c2ccccc2)n1)NS(=O)(=O)c1ccccc1
570.8530000000002,C[C@H](CSC1=C(Cl)[C@@H]2CN([P@](=O)([O-])c3ccccc3)CCC2O1)C(=O)Nc1cccc(Br)c1
585.871,O=C1NC(c2ccco2)C(=O)C(C(=O)c2ccc(Cl)cc2)=C1C1CCC(C(=O)Nc2cc(Cl)ccc2Cl)CC1
482.6680000000002,CCCNC(=O)c1c(CC)cccc1C(=O)CC(c1ccccc1)N1CCC(c2ccccc2)CC1
474.53500000000025,COc1ccc(C(=O)C2=C(CCC(=O)NC(=O)C[SH2+]C3CCCC3)C(=O)NC(=O)C2=O)cc1
472.5850000000004,CCc1ccc(NC(=O)c2ccc(C(=O)Nc3ccc4c(c3OC(C)CC)CCCO4)cc2)cc1
542.6690000000001,O=C(Nc1cccc(Cl)c1Cl)c1cc(Cl)c2nc(SCc3ccccc3Br)oc2c1
507.47200000000015,CCc1ccc(-c2nnc(NC(=O)c3ccc(C(=O)Oc4ccc(C(F)(F)F)cc4C)cc3)nn2)cc1
538.8660000000002,COC(=O)c1cc(OCC(=O)Nc2ccccc2Cl)c(Br)cc1OCCCC1CCCCC1
537.0780000000003,COc1ccc(C(=O)O[C@H](CCC(C)C)C(=O)Nc2ccc(S(=O)(=O)N3CCCCC3)cc2)c(Cl)c1
574.8590000000003,CCc1cc(Br)ccc1O[C@H](C)C(=O)NNC(=O)c1ccc(C(=O)Nc2ccc(OC)c(Cl)c2)cc1
556.2950000000001,CCc1cccc(Br)c1OCC(O)CN1CCN(C(=O)c2ccc(OC)c(Br)c2)CC1
531.7460000000001,O=C(COC(=O)c1cc(Cl)cc2c1ON[C@@H](c1ccccc1)O2)NC(=O)c1ccc(Br)cc1
462.5750000000002,CC(=O)c1ccc(S(=O)(=O)N2CCN(c3nn4cc(C)cc4c4ccc(C)cc34)CC2)cc1
473.4070000000001,COc1ccc(NC(=O)CC(=O)NC(=O)c2cccn(-c3ccc(C(F)(F)F)cc3)c2=O)cc1
533.7950000000003,Cc1cc(Cl)cc(C(=O)NC(=O)Nc2ccc(C(=O)COC(=O)c3ccc(Cl)cc3Cl)c(C)c2)c1
530.7860000000002,Cc1ccccc1NC(=O)NC(=O)c1ccc(NC(=[OH+])NC(=O)c2ccc(Br)cc2Cl)cc1
546.8340000000003,CCCC(C(=O)C(OC(=O)c1ccc(Cl)cc1Cl)C(=O)NC(=O)c1ccccc1Cl)c1ccccc1
515.6060000000002,COc1ccc(C2OC3CCN(CC(=O)c4ccc(OC)cc4OC)CC3C(c3ccccc3)C2=O)cc1
507.7570000000002,CC(Oc1cccc(Cl)c1Cl)C(=O)C(NC(=O)c1ccc([N+](=O)[O-])cc1)c1cccc(Cl)c1
475.90100000000007,CN(C)S(=O)(=O)c1ccc(NC(=O)CCC(=O)Nc2ccccc2OC(F)F)c(Cl)c1
483.4200000000002,CC(CCC(=O)Nc1nc(-c2cc(Cl)cc(Cl)c2)cs1)C(=O)c1ccc2ccccc2c1
492.3800000000001,CCc1ccc(S(=O)(=O)c2ccc(C(=O)OCC(=O)Nc3c(Cl)cccc3Cl)cc2)cc1
465.54900000000015,Cc1ccc(COc2ccc(OCc3ccc(C(=O)NC(=O)c4ccccc4C)cc3)cc2)cc1
519.9850000000001,COC(=O)c1cccc2c(Cc3ccc(OC)c(NC(=O)CCC(=O)Nc4cccc(Cl)c4)c3)c[nH]c12
587.2640000000002,COc1cc(Br)c(NC(=O)c2ccc(COc3ccc(Br)cc3)o2)c(C)c1Oc1ccccc1
530.9640000000003,Cc1[nH]c(=O)c(C(=O)OCc2ccccc2)c(C(=O)Nc2ccc(Cl)cc2)c1C(=O)OCc1ccccc1
484.3800000000002,CC1CCC2OC(c3nnc(OOCCCC(=O)Nc4cc(Cl)ccc4Cl)o3)CCC2C1
584.7500000000002,O=C(CCc1cccc(C(=O)NC(=S)Nc2ccc(Cl)c(Cl)c2Cl)c1)Cc1ccc(Br)cc1
573.2480000000002,COc1ccc(NS(=O)(=O)c2cccc(Br)c2)cc1C(=O)OCC(=O)c1ccc(Cl)c(Cl)c1
545.4330000000002,COc1ccc(C(=O)N(Cc2cccc(-c3cccc(OC)c3)c2)C(=O)Nc2ccc(Br)cc2)cc1
498.6670000000002,Cc1ccc(C)c(CN2CCC(C(=O)OC(C)C(=O)NC(c3ccccc3)c3ccccc3C)CC2)c1
577.089,O=C(CCOc1ccc(Cl)cc1Cl)Nc1ccc(Cl)c(NC(=O)c2ccc(Br)cc2Cl)c1
545.2750000000002,Cc1c(Cl)cccc1N(CC(=O)N/N=C/c1ccc(Cl)cc1Cl)S(=O)(=O)c1ccc(Cl)cc1
466.5850000000002,CC(CNC(=O)CN1CNC2=C(NC(=O)c3ccccc3)c3ccccc3C2C1)c1ccccc1
555.8780000000003,C[C@H]1CCC(CS(=O)(=O)c2cccc(Cl)c2)CN1C(=O)C(=O)CNC(=O)c1cccc(Br)c1
539.0470000000001,Cc1c(C(=O)OCC2CCCCC2)cc(NC(=O)C(C)Nc2ccccc2)c(Oc2cccc(Cl)c2)c1F
534.6120000000003,CNS(=O)(=O)c1ccc(S(=O)(=O)c2cc(NC(=O)COc3ccc(C)cc3)c(OC)c(OC)c2)cc1
464.90200000000016,CCOc1ccc(NC(=O)CCC(=O)OCC(=O)Nc2cc(Cl)cc(OC)c2)c(OC)c1
511.8900000000001,COc1ccc(OC)c(C(=O)Oc2nc(SCC(=O)OC(F)(F)Cl)nc(-c3ccccc3)n2)c1
522.6640000000002,Cc1cccc(C2CC3CC(CCc4ccc(F)cc4)OCC3CN2C(=O)Nc2ccc3ccccc3c2)c1
513.5310000000002,COc1cc(NC(=O)COC(=O)C2S/C(=N/C(=O)c3ccccc3)c3ccccc3C2=O)ccc1C#N
536.4260000000003,CN1C(=O)C2=C(N3CCOCC3)c3cc(Br)cc4c3C(C(=O)C(CCCO)=N4)C2c2ccccc21
498.0480000000002,Nc1ccc(CNC(=O)C2CCC(N(c3ccccc3)S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1
563.4410000000001,O=C1N=C(C(=O)N2CCN(CCC(=O)N(C(=O)c3cccc(Cl)c3)c3ccccc3Cl)CC2)c2ccccc21
485.99400000000014,O=C(CSC1=C[S-]C=C2CCN(c3ccc(Cl)c(C(=O)[O-])c3)C(=O)C21)Nc1ccccc1
