HBA,SMILES
7.0,O=C(N/N=C(/c1csc(-c2ccc(F)cc2)n1)c1ccco1)c1ccc2c(c1)OCO2
5.0,COc1ccc(NC(=O)COc2ccc(OC)c(OC)c2)cc1Cl
6.0,COc1ccc(Nc2nnc(COc3ccc(Cl)cc3)o2)cc1
8.0,CCSc1nsc(Nc2nc3cc(OC)ccc3s2)n1
6.0,COc1cc(C(=O)OCCc2ccc(O)cc2)c(O)c(Cl)c1O
5.0,O=C(CSc1nnc(-c2ccc(Br)cc2)o1)c1ccccc1Cl
7.0,Cn1c(=O)oc2c(cc(CC(=O)NCCc3ccccc3)c(=O)n2C)c1=O
7.0,COc1cc(-n2nnnc2[S-]Cc2ccc3c(c2)CCO3)ccc1F
7.0,Cc1cc(Cc2nc3c(=O)n(-c4ccccc4)c(C)nc3s2)no1
5.0,O=[N+]([O-])c1cccc(/C=N/N2CCOCC2)c1
8.0,COC(=O)c1cccc(S(=O)(=O)c2nc3n(n2)CCN(C(=O)c2ccc4ccccc4c2)C3)c1
7.0,COc1ccc(C(=O)NCCc2nnc(-c3ccco3)o2)cc1OC
7.0,Cc1ccc(C(=O)OCc2nnc(NC(=O)[C@H]3CCCO3)s2)cc1
7.0,CCc1nnc2n1nc1sc(-c3ccc(Br)cc3)nn12
7.0,Brc1csc(OCCCCNc2nnns2)c1
7.0,COc1cc(/C=N/NC(=O)COC(=O)c2ccccc2)c(OC)c(OC)c1
4.0,O=C(COCc1ccccc1)N/N=C/CCN1CCCC1
7.0,CCn1c(COC(=O)/C=C/c2ccco2)nnc1COc1ccccc1
6.0,COc1ccc(/C=N/n2nc([N+](=O)[O-])cc2C)cc1
7.0,CS(=O)(=O)c1ccc(OCC(=O)Nc2nccc(=O)s2)cc1
7.0,Nc1nnc(SCC(=O)N/N=C/c2ccccc2Cl)s1
4.0,Cc1cc(Br)ccc1OCC(=O)Nc1cc(Cl)c(=O)[nH]c1O
7.0,CC(=O)NCCc1csc(-c2nc(OC(=O)c3ccc(C)cc3)cs2)n1
8.0,COC(=O)c1cnc(SCC(=O)Nc2cccc(C(=O)[O-])c2)o1
6.0,N#CNC(=O)CCC(=O)Nc1ccc(C2=CC=C[S-]2)nn1
7.0,Cc1ccccc1-c1nnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)o1
5.0,O=C(O)COc1ccc(C2=NCN(CC(=O)Nc3ccccc3)CC2)cc1
5.0,CCc1cc(Cl)nc2sc(NC(=O)N(C)CCC#N)nc12
6.0,CCOc1cccc(/C=N/N=C/c2ccc(O)c([N+](=O)[O-])c2)c1
7.0,Cc1ccc(NC(=O)CSC2=NN3C(=NOc4ccccc43)N2)cc1
8.0,C=CCOc1ccc(CSc2nnc(-c3ncccn3)o2)cc1OC
5.0,NC(=O)c1ccc(NC(=O)CSNC(=O)c2ccccc2O)cc1
8.0,O=C(CSc1ccc2c(c1)OCCO2)Nc1nc2c(s1)=NCN=2
6.0,Cc1ccc2oc(=O)c(C(=O)OOC(=O)c3ccc(Cl)cc3)cc2c1
8.0,Cc1cc2c(c(/N=C3\SC(=O)N(c4nc5cc(O)ccc5o4)C3=O)n1)CCCC2
7.0,COc1cc(/C=C/C(=O)OCCC(=O)C2COc3ccccc3O2)ccc1O
7.0,O=Cc1ccc(C(=O)Nc2nc3cc4c(cc3s2)OCO4)o1
5.0,CCOc1ccc(-c2nnc(COc3ccc(C)cc3)o2)cc1
4.0,COc1ccc(OCCNc2cc(Cl)ccc2O)cc1
6.0,O=C(Nc1ncc(-c2cncs2)nn1)c1ccccc1
5.0,CCn1c(SCC(=O)Nc2ccc(C)cc2C)nc2ccccc2c1=O
4.0,COc1cc(=O)c(CC(=O)Nc2ccc(Cl)cc2OC)c(CCCl)[nH]1
4.0,COc1ccc(/C=N/CC(=O)NCc2cccc(Cl)c2)c(O)c1
5.0,O=C(COC(=O)N1CCOCC1)OCc1ccc(-c2ccccc2)cc1
6.0,COc1cc(OC)c(-c2nnc(-c3cccc(Br)c3)o2)cc1OC
7.0,N#COc1ccccc1Oc1ccc(CC(=O)NCOc2ccsn2)cc1
6.0,COc1ccc(/C=C/C(=O)OCC(=O)Nc2n[n+](C)cs2)cc1
6.0,CC(=O)c1ccc(COC(=O)CC[S-]C2=Nc3cc(C)ccc3[S-]2)cc1
6.0,O=S(=O)([NH2+]CSCc1nnc(-c2ccccc2)o1)c1ccc(F)cc1
5.0,Cc1ccc(NC(=O)CSc2nnc(-c3cccc(Br)c3)o2)cc1
5.0,COc1cc(Cl)ccc1C(=O)CNc1ccc([N+](=O)[O-])cc1
5.0,COc1ccc(CN/C(C)=N/c2ccc3onnc3c2)cc1
4.0,NN/C(=N\OCC(=O)NCCc1ccccc1)c1ccccc1
7.0,O=C([O-])COc1ccc(C(=O)OCC(=O)COc2ccc(Cl)cc2)cc1Cl
7.0,O/C(=C\[S-]c1nnc(-c2ccon2)o1)c1ccccc1
7.0,O=C([S-]c1nnc2nc(Cl)cnn12)c1ccc(Cl)cc1
6.0,CCn1c(SCc2ccccc2)nnc1[S-]CC=O
5.0,COc1ccc(NC(=O)COc2cc(OC)c(C(=O)O)cc2Br)cc1
5.0,O=C(OCCOc1ccccc1)c1cccc([N+](=O)[O-])c1
5.0,CCOc1ccc(C(=O)OCC(=O)CC(=O)Nc2ccccc2Cl)cc1
5.0,O=C(COOC(=O)COc1ccccc1)Nc1ccc(Br)cc1
7.0,CCOC(=O)c1ccc(NC(=O)SC(=O)C2=COc3ccccc3O2)cc1
5.0,CCc1ccc(NC(=O)CSc2ccc(-c3ccc(C#N)cc3)nn2)cc1
6.0,COc1ccc(-c2csc(-c3cc(NC(C)=O)no3)n2)cc1
8.0,CCOC(=O)c1nnc(COc2ccc([N+](=O)[O-])cc2)o1
4.0,CN(C)CCNC(=O)COC(=O)c1ccc2ccccc2c1
6.0,COc1ccccc1OCCSc1n[nH]c(CC(=O)Nc2ccc(C)cc2)n1
7.0,Cc1ccc(COC(=O)COC(=O)OCCO)o1
7.0,O=C(Cc1nnns1)NCc1ccc([N+](=O)[O-])cc1
5.0,COC(=O)COC1Oc2cc(Cl)c(Cl)cc2OC1C
7.0,Cc1cc(-c2nnc(CNCc3ccc([N+](=O)[O-])cc3)n2C)ccc1C#N
5.0,Cc1ccc(CSc2nnc3c(n2)COc2ccccc2-3)cc1
7.0,O=C(CSc1nncs1)Nc1ccc([N+](=O)[O-])cc1
5.0,O=C(Oc1ccc([N+](=O)[O-])cc1)c1ccc(/N=C/c2ccccc2Cl)cc1
7.0,COc1cc([N+](=O)[O-])ccc1OCC(=O)OCC(=O)c1cccc2ccccc12
4.0,O=C(Nc1nnc(-c2ccc(Cl)c(Cl)c2)s1)c1ccc(Cl)cc1Cl
5.0,COc1cnc(-c2nnn[nH]2)cc1Cl
7.0,NC(=O)COC(=O)CSc1nnc(-c2cccc(Cl)c2)o1
6.0,COc1ccc(-c2nnc(NCc3cccc(OC)c3)o2)cc1
7.0,Brc1ncc(C[S-]c2nnc(COc3ccccc3)o2)o1
7.0,CCn1c(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nnc1-c1cccc(Cl)c1
6.0,CC(C)NC(=O)COCc1nnc(-c2ccccc2)n1N
6.0,Cc1ccc(OC(=O)CCC(=O)Nc2cnc(Cl)nc2O)cc1
7.0,COC(=O)c1cc(C2N=NC(/C=C/c3cccc(Br)c3)=N2)oc1C#N
6.0,O=c1c2ccc(Cl)cc2nc2oc(COc3ccccc3Cl)nn12
5.0,Cc1ccc(OCC(=O)CC(=O)Nc2nc3ccccc3s2)cc1
5.0,O=C(CSc1nc2ncc(Cl)cc2s1)Nc1ccc(Br)cc1
7.0,COC(=O)c1sc2nc(COc3ccc(OC)cc3Cl)[nH]c(=O)c2c1C
4.0,OC(c1ccccc1)c1nnc(-c2ccc(Cl)cc2)o1
4.0,O=C(N/N=C/c1ccco1)c1ccc(O)c(Br)c1
7.0,N#CCCNC(=O)CSc1nnnn1-c1ccccc1
5.0,CCCc1nnc(NC(=O)COc2ccccc2Cl)s1
5.0,O=[N+]([O-])c1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)cc1
7.0,O=[N+]([O-])c1ccc(N2CCN(c3nnc(-c4ccccc4)o3)CC2)cc1
4.0,CCOc1cccc(NC(=O)COC(=O)c2ccc(Br)cc2)c1
5.0,CC[S+](=O)(C#N)C(=O)c1ccc(C(=O)OCc2ccccc2)cc1
6.0,O=C(CSc1nnc(OCc2ccccc2)o1)Nc1ccc(Br)cc1
6.0,O=C(COc1ccc([N+](=O)[O-])cc1Cl)Nc1ccc2c(c1)OCO2
7.0,COc1nc(C(=O)Nc2cc(C)n(C)n2)cc2ccc([N+](=O)[O-])cc12
5.0,Cc1cccc2nc(Cl)c(SCCN3CCN(C)CC3=O)nc12
6.0,Cc1cccc(OCCC(O)Cn2nnnc2C)c1Cl
4.0,O=C(CSc1ccc2ccccc2n1)Nc1cc(Cl)ccc1O
5.0,CCOc1ccc(C(=O)COC(=O)c2ccc(Cl)c([NH2+])c2)cc1
6.0,COc1cc(C)ccc1C(=O)OCC(=O)Nc1cccc([N+](=O)[O-])c1
7.0,O=C1OC(COc2ccc([N+](=O)[O-])cc2)C(=O)/C1=C/c1cccc(O)c1
7.0,COc1cc(OC)c(-c2nc(/C=C/C=N/Cl)no2)cc1OC
7.0,Cc1nc2c(s1)NC(CCOCC(=O)CC(C)O)OC2
7.0,COCn1c(SCCCc2ccc3c(c2)OCO3)nnc1-c1ccccc1
7.0,COc1ccc(C(=O)NCOC(=O)COc2cccc([N+](=O)[O-])c2)cc1
5.0,COc1ccc(C(=O)/C=C/c2ccc(O)c(Br)c2)cc1[N+](=O)[O-]
4.0,O=C(CC(=O)c1ccc(O)cc1)Oc1ccc(Cl)c(Cl)c1
4.0,CC(C)C(=O)Nc1ccc(NC(=O)CC(=O)c2ccc(OC(F)Cl)cc2)cc1
5.0,O=C(C/N=C/c1cc([N+](=O)[O-])cs1)Nc1ccc(C(F)(F)F)cc1
7.0,O=[N+]([O-])c1cccc(COc2ccc3c(c2[N+](=O)[O-])OCCO3)c1
6.0,COc1cc(NC(=O)COC(=O)c2ccc(Cl)cc2Cl)c(Cl)cc1[N+](=O)[O-]
7.0,Oc1ccc(-c2noc(-c3ccc4c(c3)OCO4)n2)cc1O
7.0,Cc1ccc(S(=O)(=O)Nc2noc(-c3ccc4c(c3)OCCO4)n2)cc1
6.0,CCOCCNC(=O)COC(=O)c1ccc([N+](=O)OC)cc1
5.0,O=[N+]c1cc(-c2csc(COc3ccc(Cl)cc3)n2)ccc1Cl
6.0,O=c1oc(-c2nnc(-c3ccc(OC(F)F)cc3)o2)cc2ccccc12
6.0,COc1cc2c(c(OCC(=O)NC(=O)c3cccc(F)c3)c1)OCO2
6.0,CC(=O)c1oncc1NC(=O)OCC(=O)Nc1cccc(Cl)c1
8.0,CSc1ccccc1C(=O)OOC(=O)COc1c(Cl)cccc1[N+](=O)[O-]
6.0,CCOc1cc(Cl)c(OCC(=O)Nc2cc(OC)cc(OC)c2)cc1OC
6.0,O=C(CCOC(=O)c1ccccc1)Oc1nc2ccccc2s1
5.0,COc1ccc(-c2nc(-c3ccccc3OC)no2)cc1
7.0,COc1ccc(NC(=O)CSc2nc3cccc(OC)c3s2)cc1OC
7.0,CCn1c(NC(=O)c2ccc(OC)cc2)nnc1-c1ccc(C(=O)[O-])cc1
5.0,Cc1nc2ccc(OCC(=O)O)cc2c(=O)o1
5.0,COc1ccc(/N=C/CSc2ncc(-c3ccc(Cl)cc3)o2)cc1
7.0,Cn1c(NC(=O)c2ccc(Cl)cc2)nnc1[S-]c1nc2ccccc2s1
5.0,CC(=O)c1ccc(C(=O)OCCC(=O)Nc2ccc(Cl)cc2Cl)c(O)c1
8.0,COC(=O)c1ccc(NC(=O)CSc2nc3cc([N+](=O)[O-])ccc3o2)cc1
6.0,O=C(CSc1nnc(SCc2ccccc2)o1)Nc1ccccc1
