rotatable,SMILES
12.0,CCCCCCCc1ccc(OCCCCCO)cc1
12.0,CCCCCNCCNCCOc1cccc(OC)c1
13.0,CCCCCCCCCOc1cc(C)c(CCCC)cc1OC
13.0,CCCCCCCCCCOc1c(C)cc(Br)c(OC)c1OCC
14.0,CCCCCCCCCCCCCOCCC
11.0,CCCCCCCCOc1ccc(OC)cc1OCC
13.0,CCCCCCCCCCc1cc(OC)c(OCC)cc1N(C)C
14.0,CCCCCCc1cc(OCC)c(OCCCCC)c(OCC)c1
14.0,CC/C=C/CCCCCCCCCCCCCC
12.0,CCCCCCCCCCCOc1ccccc1OC
12.0,CCCCCCCCCCCCCC(=O)[O-]
15.0,CCCCCCCCCCC(CCC)CC(=O)NC(C)CC
13.0,CCCCCC[NH2+]CCOc1cc(OC)c(OCC)cc1OC
13.0,CCC(C)CCCCCCCCCOc1ccc(OC)cc1
13.0,CCCCCCCCCCCCc1ccc(OC)c(OC)c1
12.0,CCCCCCCC(=O)NCCCCCCO
12.0,CCCC[NH2+]CCCCCCCC(C)CC
12.0,C=CCOc1cc(OC)c(OCCCCNCC)cc1OC
12.0,C=CCCCCCCc1ccc(OCCC)c(OCC)c1
15.0,CCCCCCCCCNCCOc1cc(OC)c(OC)cc1OC
12.0,CCCCCCCc1ccc(OCCCCCC)cc1
12.0,CCCCCCCCCCCCOc1cccc(C)c1
13.0,CCCCCCCCCCCCCCOO
11.0,CCc1cccc(OCCCCCCOc2ccc(OC)cc2)c1
10.0,CCCC(=O)NCCC(=O)NCCCN(C)CC
13.0,C=CCOc1cc(OC)c(OCCCCCCCC)c(OC)c1
13.0,CCCCCCCOc1ccc(OCCCCC)c(OC)c1
14.0,CCCCCCCCCCCCc1ccc(N(C)CC)c(OC)c1
13.0,CCCCCCCOc1ccc(OCCCCCC)cc1
13.0,CCCCCCCC(CCCCCC)OCC
13.0,CCCCC[NH2+]CCc1ccc(OCCCC)c(OCC)c1
10.0,CCCCCCOc1ccc(OCCC)c(OC)c1
13.0,CCCCCCCCCCCCCOc1ccccc1C
12.0,CCCCCCCOc1cc(OCC)cc(OCC(C)C)c1
12.0,CCCCCCOc1cc(Cl)c(OCCCCC)c(OC)c1
13.0,CCCCCCCCCCCNCC(C)CC
13.0,CCCCCCNc1cc(OC)cc(OCCCC)c1OCC
13.0,CCC(C)CCCCCCCCCCOc1ccccc1
13.0,CCC[NH2+]CCCCOc1cc(OCC)c(OCC)cc1OC
13.0,CCCCCCCCCCCCCC[C@@H](C)O
13.0,CCCCCCCOc1ccc(OCCCC)c(OCC)c1
14.0,CCCOc1cc(OC)ccc1OCCCCCCCCCCl
12.0,OCCCCCCCCCCCCc1ccccc1
13.0,CCCCCOc1c(Cl)cc(CC[NH2+]CCCC)cc1OCC
14.0,CCCCCCc1cc(OCC)c(OCCCCC)c(OC)c1OC
13.0,C=CCOc1c(Cl)c(CCCCCCCC(C)C)cc(OC)c1OC
12.0,CCCCCCCCCCOCc1cccc(OC)c1
12.0,CCCCCCC[NH2+]CCCOc1ccc(F)c(OC)c1
12.0,CCCCCCCCc1cc(Cl)c(OCC)c(OC)c1OCC
12.0,CCCN(C)CCCC[NH2+]Cc1cc(OC)cc(OCC)c1
12.0,CCCCCCCCCc1cc(Cl)c(OCCC)c(OC)c1
12.0,CCCCCNCCCCCC(N=N)N=N
15.0,CCCCCCCCCCCCCCc1ccc(OC)c(OC)c1
16.0,CCCCCCCCCCCOCCCCCCC
13.0,CCCCCCCCCCC[NH2+]CCc1cccc(C)c1
15.0,CCCCCCCCCCCCC(C)CCC(C)CC
14.0,CCCCCC(COc1ccc(OCCC)c(OC)c1)OCCC
14.0,CCCCCCCOc1cc(OCC)c(OCCCC)cc1OC
13.0,CCCCCCCCNC(=O)c1ccc(OCCCCl)c(OC)c1
13.0,CCCCCCCCCCCCOc1ccc(OC)cc1
14.0,CCCCCCCCCc1ccc(OCCCCCC)cc1
10.0,C=CCCCCCCCCCCC
