rotatable,SMILES
4.0,O=C(COc1ccc2ncoc2c1)NNC(=O)c1ccc(Br)cc1
4.0,O=C(COC(=O)/C=C1\C=CCc2ccccc21)Nc1cccc(Cl)c1
5.0,O=C(Cc1nnc(-c2ccccc2Br)o1)NCc1ccco1
5.0,O=C(CCOc1ccccc1Br)NNC(=O)c1cccs1
5.0,CCc1ccc(NC(=O)COC(=O)c2ccccc2F)cc1
4.0,COc1ccccc1NC(=O)C(C)c1cc(=O)c2cc(Br)ccc2o1
5.0,c1ccc(OCCSc2nc3ccccc3o2)cc1
5.0,CC(NC(=O)c1ccccc1)C(=O)NCc1ccc(F)cc1
4.0,O=C(COC(=O)c1ccccc1Cl)NC(=O)Nc1sc2ccccc2c1Cl
5.0,N#Cc1ccc(OCC(=O)Nc2ccc(CN)cc2)cc1
4.0,COc1ccc(/C=C/C(=O)Nc2ccccn2)cc1
5.0,O=C(COC(=O)c1ccc(Br)cc1O)N/N=C/c1ccco1
5.0,O=[N+]c1ccc2c(=O)c(C(=O)CCc3ccc(Cl)cc3)coc2c1
3.0,O=C(/C=C/c1cccc(Br)c1)Nc1ccc2c(c1)OCO2
6.0,COc1cccc(S(=O)(=O)NCCc2cccc(F)c2)c1
5.0,CCNCNS(=O)(=O)c1ccc(Br)cc1
5.0,O=C(CNC(=O)Nc1ccccc1)N/N=C/c1ccccc1Cl
4.0,Cc1cc(OC(F)(F)F)ccc1OC(=O)/C=C/c1ccccc1
6.0,CCCOc1ccc(NCc2ccc(Cl)cc2)cc1
5.0,Cc1ccccc1CNC(=O)C[S-]c1nc2ccccc2[nH]1
6.0,O=C(/C=C/c1ccc(OCc2ccccc2)cc1)NC(=O)c1ccco1
5.0,Cc1ccc(NC(=O)CSc2nnc(-c3ccc(Br)cc3)o2)cc1
5.0,O=C(COc1ccccc1Br)N/N=C/c1ccc(O)cc1
5.0,COc1ccc(C(=O)NNC(=O)COc2ccc(C)c(C)c2)cc1
5.0,Cc1cc(NC(=O)CCC(=O)Nc2ccccc2Br)no1
4.0,c1ccc(CSc2n[nH]c(-c3ccn[nH]3)n2)cc1
